formula,bio
C2H9O3P,92.51068234443665
C3H9P,85.15430092811584
C3H11FO2,84.86177921295166
H4NOP,79.45722341537476
HOPS,78.19669842720032
C2H4FIO2,69.9001669883728
C2H8ClP,61.09898090362549
C2H7O2PS,59.53311324119568
C2H10NPSi,58.071208000183105
H7FOSi2,51.713281869888306
H4FPSi,47.81873822212219
C3H9ClO,46.61021530628204
CH7OPSi,44.950151443481445
C3H21FIN2O3PSi,43.72824430465698
C2H10ClI2O2P,38.752880692481995
CH7BrINO2,36.536166071891785
CH7BrFIOSi,28.12955379486084
H4BrIO2SSi,28.056979179382324
H9I2NOP2Si,26.834636926651
CH8BrN3O,25.40743052959442
H14BrN3O3Si2,25.175023078918457
C2H12F2INSSi,24.456800520420074
CH5NS3,23.229239881038666
H7BrFNO4P2S,22.842197120189667
C2H13I2OPSi,22.834579646587372
C3H11ClFI3NO3P,22.004084289073944
CH8Br2I2NOPS2,21.255502104759216
C2H11ClFI2O3PS,20.208248496055603
CH8FIOSi2,19.71045881509781
CH13FO3P2SSi,18.314264714717865
C2H6ClIOS,17.668314278125763
C3H10BrClIOPS,16.55377745628357
CH11ClIN2OPSSi,15.705184638500214
C3H8ClNO,15.210439264774323
H11INOPSSi2,15.205393731594086
CH3Cl3O,14.306221902370453
H4Br2ClFI4OP2,13.631969690322876
C2H10BrIOP2,12.982223927974701
C2H17N2PSSi2,12.607306241989136
C4H17ClFI2NSSi,12.213754653930664
H6ClFIO3PSSi,11.852706223726273
CH14BrFINOP2Si,11.705165356397629
CH7ClFISSi,11.500943452119827
H3BrClNO2,11.235866695642471
H7Cl2I2NO2SSi,11.18834763765335
CH11FIN2O2PSSi,10.447101294994354
CH8ClF2NP2,9.998074918985367
CH17Br2FIOPSi4,9.798038750886917
H11ClFIN2OSi2,9.323108196258545
CH13IO2P2S3Si2,8.920145779848099
C2H10Cl2INO2Si,8.222891390323639
H10Cl2O4S2Si2,8.129741996526718
H8Cl2FI3O2P2,7.753399014472961
H4F3INPS,7.451856881380081
CH15N3OSi3,7.382071763277054
H7Cl2IP2S2Si,6.9302670657634735
CH10INS3Si,6.928861141204834
C2H13ClI3NO2Si,6.830199807882309
H7BrNP3,6.8190135061740875
H5BrF2INS2Si,6.66336864233017
H2BrClIOP,6.429741531610489
CH10ClINO2PSSi,6.424198299646378
C2H17IO3S2Si3,6.415165960788727
C3H14ClFIN2P,6.049267947673798
C3H14I3PS,5.93995563685894
C4H21BrN3O2PS2Si,5.613904073834419
H10Cl2INO3P2Si,5.4814159870147705
C4H13BrI2P2,5.240263417363167
CH5BrFI2OP,4.629270359873772
H4BrCl2NOS2,4.592975229024887
CH14BrFINO3SSi2,4.542838409543037
H7BrClFN2OSSi,4.30416539311409
CH6ClFI2NPS,4.182417318224907
C4H12BrN,4.176313430070877
C2H12BrClFI2NOS2Si,3.914208710193634
H6F2N3OPS,3.807380050420761
C2H15ClF2I3O2P3Si,3.7781033664941788
CH10Cl2F2I3NOSi,3.624464198946953
C2H8BrClI2SSi,3.536723554134369
C5H15BrClI,3.3784430474042892
C3H13Cl2O3PS2Si,3.1553566455841064
CH9BrClFINOP2S2,3.13962958753109
CH7BrF2OP2S,3.0604012310504913
H5BrCl2INSi,2.6096031069755554
C3H7BrClF2IS,2.404151111841202
C2H7Br2F2IO,1.843743957579136
C3H18BrClFN2OPSSi,1.8303323537111282
H5BrClFI2P2S2,1.7024677246809006
CH12BrClIN2OP3S,1.6258947551250458
C3H12BrCl2FSi2,1.2811210937798023
CH8BrNOS3Si,1.2408099137246609
H7BrClIP2S2Si,0.9187475778162479
H2BrI2NOS5,0.8780847303569317
C2H14BrClINSSi2,0.731411762535572
CH12BrClF2S2Si3,0.5254300776869059
CH11Br2ClN3P3S,0.45921304263174534
CH11BrClF2INOPS3,0.42795916087925434
C2H17BrFIN2S4Si2,0.24398502428084612
CH11Br3ClFI2NPS2Si,0.18469177884981036
H5Br2FN4S,0.05946887540630996
