Formula,Count
C4H13F2NOS,1
H4BrClN2OS,1
C2H6S2,1
CH13N2OPSSi2,1
CH17IN2O2P2SSi2,1
CH7ClIN3O,1
CH6ClNO3S,1
C2H12ClF2NP2S,1
C3H15IN2O2SSi,1
CH12N2OP2SSi,1
C3H10BrNO2S,1
C3H11BrIO3PS,1
CH10FNP2S3Si,1
C3H10BrI2O2P,1
C2H11Cl2PSSi,1
C3H13NO2Si,1
C4H18FINOPSi2,1
C3H13ClFOPSSi,1
C6H21NO2Si,1
C5H17Br2ISi,1
C3H25IN3PSi3,1
CH7Cl2NO4,1
C4H25INO2P3SSi2,1
C4H15BrClO2PS,1
C2H18BrI2O3PSi3,1
C3H11FINOSSi,1
C2H17I2O2PSSi2,1
CH13FI4N3O3PSSi,1
C2H11BrINOSi,1
C2H13I2NOP4Si,1
C4H17IN2P2Si,1
CH14Cl2IO3PS2Si2,1
C4H16BrClIOPS2Si,1
CH11BrIN2OPS2,1
C2H10Cl2FO2PSi,1
C2H14FN2PS2Si,1
CH13I2NOP2SSi,1
C3H14BrClINO2S2Si2,1
C4H14BrFNOP,1
C3H12Br2N2OSi,1
C3H14ClF2IN2S2Si,1
C5H14,1
H3BrCl2F2INSi,1
CH6Cl2NOP,1
C5H15INPSSi,1
H13BrIN3O2Si2,1
C5H16BrFOSi,1
CH11BrFI6NO2P2S,1
CH11F2NO2S2Si2,1
C3H16IN2O2PS3,1
C3H13BrINOSi,1
C5H18FN2P,1
C3H15F2INO2PSi,1
C3H10F2N2S2,1
CH9OPSi,1
C5H22NPSSi3,1
CH7BrCl2INSi,1
C3H10ClIO2P2S,1
CH12INOSSi3,1
C2H13Cl2F2OPS7Si,1
C2H10ClISi,1
CH9FNOPS2Si,1
C3H15N5O,1
C3H12IO2PSi,1
C2H9INO3P,1
C3H12IO2P,1
C4H22N2O2P4Si,1
C2H12NOPSi,1
CH7ClFI2OP3S3,1
C4H14INOS,1
H3BrClISSi,1
C3H10Cl4INO,1
H8BrF2N2PSi,1
C6H15BrFINOPS,1
H9ClI2P2S2Si,1
CH11NO2Si2,1
CH5Br2N,1
C2H11FN2S,1
C3H11FI2O2Si,1
C3H15N2PSSi,1
H14BrClIO2P3S2Si2,1
C3H13BrClFN2SSi,1
C4H12INP2S,1
C5H14Br2Si,1
C5H15FOP2S2,1
C2H9INOP,1
C3H11FOSSi,1
C3H18Cl2IN2P3Si,1
H4BrFO2Si,1
C4H15FO2SSi2,1
C6H17ClO2Si,1
C3H10I2O2S,1
CH9ClIPSi,1
CH12BrINPSi2,1
CH6BrClI5NO2Si,1
CH10BrClIN3SSi,1
CH11ClI2S2Si2,1
C2H9Cl2INO2PS,1
H10I3N3OSi,1
C2H11INO2P,1
